"R","P","S","Player"
30,29,19,"julia"
1,21,46,"lilly"
17,32,47,"leah"
24,39,44,"ellie"
31,25,37,"isabel"
31,39,24,"meredith"
28,17,37,"brooklyn"
23,12,58,"lindsey"
20,25,36,"brian"
24,47,32,"bruno"
15,27,49,"alejandro"
28,27,25,"matt"
37,23,23,"arvind"
25,30,46,"james"
30,20,23,"neev"
45,59,6,"hayden"
30,37,23,"devin"
34,39,45,"olivia"
21,38,27,"molly"
12,33,55,"ryan"
22,35,28,"john"
29,31,23,"gracilyn"
19,41,29,"delaney"
47,12,23,"theo"
