"R","P","S","Player"
59,39,26,"julia"
2,35,75,"lilly"
22,49,71,"leah"
28,49,74,"ellie"
50,28,61,"isabel"
43,53,44,"meredith"
36,21,71,"brooklyn"
36,13,88,"lindsey"
32,35,60,"brian"
31,69,49,"bruno"
21,39,77,"alejandro"
46,36,44,"matt"
57,30,42,"arvind"
42,35,70,"james"
53,36,30,"neev"
76,72,8,"hayden"
44,57,35,"devin"
44,49,71,"olivia"
31,61,40,"molly"
13,42,91,"ryan"
27,57,45,"john"
37,43,49,"gracilyn"
24,65,46,"delaney"
84,18,26,"theo"
