"Win","Loss","Draw","Player"
29,5,12,"julia"
9,18,17,"lilly"
12,18,16,"leah"
13,15,16,"ellie"
17,11,18,"isabel"
17,12,17,"meredith"
11,16,19,"brooklyn"
11,16,17,"lindsey"
15,15,16,"brian"
12,18,16,"bruno"
13,17,16,"alejandro"
27,12,7,"matt"
21,14,11,"arvind"
15,14,17,"james"
22,14,10,"neev"
18,11,17,"hayden"
13,25,8,"devin"
5,21,20,"olivia"
14,24,8,"molly"
16,11,19,"ryan"
15,17,12,"john"
16,14,16,"gracilyn"
16,20,10,"delaney"
19,18,9,"theo"
